bookID,title,author,average_rating,isbn,isbn13,language_code,num_pages,audio_hrs,ratings_count,text_reviews_count,publication_date,publisher,series
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9780380713806,eng,254,0.0,48701,2238,1993-03-28,William Morrow Paperbacks,False
28,Notes from a Small Island,Bill Bryson,3.91,380727501,9780380727506,eng,324,0.0,80609,3301,1997-05-28,William Morrow Paperbacks,False
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9780380715435,eng,270,0.0,28489,2085,1991-09-28,William Morrow Paperbacks,False
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9780345538376,eng,1728,0.0,101233,1550,2012-09-25,Ballantine Books,False
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9780618517657,eng,1184,0.0,1710,91,2004-10-21,Houghton Mifflin Harcourt,True
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9780618346257,eng,398,0.0,2128944,13670,2003-09-05,Houghton Mifflin Harcourt,True
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618260587,9780618260584,eng,1216,0.0,1618,140,2002-10-01,Houghton Mifflin Harcourt,True
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith,4.53,618391002,9780618391004,eng,218,0.0,19822,46,2003-11-05,Houghton Mifflin Harcourt,False
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9780618510825,eng,224,0.0,359,6,2004-11-15,Houghton Mifflin Harcourt,False
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,3.84,097669400X,9780976694007,eng,558,0.0,1430,59,2005-07-28,Pragmatic Bookshelf,False
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,9780689840920,eng,208,0.0,270244,12017,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books,True
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes,4.0,1557344493,9781557344496,eng,48,0.0,36,2,1994-08-28,Teacher Created Resources,False
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,9780385326506,eng,144,0.0,2067,334,2001-01-23,Delacorte Press,False
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,0.0,6,0,2003-06-10,Cherry Lane Music Company,False
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,eng,228,0.0,99,16,2005-11-01,The New Press,False
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,3.76,1595962808,9781595962805,eng,304,0.0,167,4,2005-11-01,Changeling Press,True
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9780670059676,eng,256,0.0,978,111,2006-08-17,Viking Juvenile,True
59,The Changeling Sea,Patricia A. McKillip,4.06,141312629,9780141312620,eng,137,0.0,4454,302,2003-04-14,Firebird,False
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9780595321803,eng,228,0.0,1176,96,2004-06-08,iUniverse,False
63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339,0.0,301,43,2005-04-12,Shambhala,False
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9780449146972,eng,369,0.0,345,12,1990-08-28,Ivy Books,True
67,The Known World,Edward P. Jones,3.83,61159174,9780061159176,eng,388,0.0,29686,2626,2006-08-29,Amistad,False
69,The Known World,Edward P. Jones,3.83,60749911,9780060749910,eng,576,0.0,22,3,2004-06-15,Harper,False
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9780273704744,eng,334,0.0,1456,82,2006-05-15,FT Press,False
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,0.0,52,4,2005-12-14,Archaia,False
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee,4.42,374517193,9780374517199,eng,416,0.0,562,37,1982-06-01,Farrar  Straus and Giroux,True
75,Uncommon Carriers,John McPhee,3.95,374280398,9780374280390,eng,248,0.0,1630,203,2006-05-16,Farrar Straus Giroux,False
76,Heirs of General Practice,John McPhee,4.17,374519749,9780374519742,eng,128,0.0,268,22,1986-04-01,Farrar  Straus and Giroux,False
77,The Control of Nature,John McPhee,4.24,374522596,9780374522599,eng,288,0.0,3498,305,1990-09-01,Farrar  Straus and Giroux,False
78,Annals of the Former World,John McPhee,4.34,374518734,9780374518738,eng,720,0.0,3115,228,1999-01-06,Farrar  Straus and Giroux,False
79,Coming Into the Country,John McPhee,4.22,374522871,9780374522872,eng,448,0.0,5704,261,1991-04-01,Farrar  Straus and Giroux,False
81,Giving Good Weight,John McPhee,4.23,374516006,9780374516000,eng,288,0.0,542,36,1994-04-01,Farrar  Straus and Giroux,False
83,Rising from the Plains,John McPhee,4.23,374520658,9780374520656,eng,208,0.0,1341,98,1987-11-01,Farrar  Straus and Giroux,False
85,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,9780822205104,eng,81,0.0,1423,70,2002-03-01,Dramatists Play Service,False
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,9780679734994,eng,249,0.0,2766,64,1991-07-02,Vintage,False
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138,0.0,31,1,2006-03-29,Routledge,False
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,eng,128,0.0,62,4,2006-03-14,North Light Books,False
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,4.46,800793617,9780800793616,eng,192,0.0,860,53,2003-09-01,Chosen Books,False
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,9780871202864,eng,108,0.0,77,2,1997-01-28,Association for Supervision & Curriculum Development,False
93,Heidi (Heidi  #1-2),Johanna Spyri,3.99,753454947,9780753454947,eng,352,0.0,153317,2257,2002-11-15,Kingfisher,True
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,9780871209993,eng,192,0.0,55,5,2004-11-15,ASCD,False
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker,4.46,1852402873,9781852402877,eng,192,0.0,34,6,2003-04-28,Sovereign World,False
98,What to Expect the First Year (What to Expect),Heidi Murkoff,3.89,761129588,9780761129585,eng,832,0.0,11797,659,2003-10-16,Workman Publishing Company,False
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss,3.82,972016414,9780972016414,eng,123,0.0,34,8,2004-05-10,One Hour Entertainment,False
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,eng,128,0.0,78,4,2004-08-19,North Light Books,False
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,9780441294671,eng,423,0.0,2785,166,1987-06-15,Ace Books,True
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670,9780441102679,eng,436,0.0,38778,568,1987-07-01,Ace Books,True
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,9780441172696,eng,331,0.0,97494,2359,1987-07-15,Ace Books,True
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,9780765306470,eng,592,0.0,784,21,2004-07-01,Tor Books,False
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980,9780399128981,eng,480,0.0,272,20,1984-04-16,Putnam,True
110,The Road to Dune,Frank Herbert,3.88,765353709,9780765353702,eng,426,0.0,4789,83,2006-08-29,Tor Science Fiction,False
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008,9780441328000,eng,471,0.0,45388,644,1987-08-15,Ace Books,True
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906,9780618212903,eng,192,0.0,26153,102,2002-06-12,Houghton Mifflin Harcourt,False
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,0.0,69167,4551,1996-09-29,Ballantine Books,True
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,9780385732543,eng,291,0.0,45,13,2005-09-13,Delacorte Books for Young Readers,True
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell,4.28,785260056,9780785260059,eng,256,0.0,16,1,2004-11-01,Thomas Nelson,False
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936,9780471780939,eng,205,0.0,174,16,2006-05-19,Wiley,False
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,325001537,9780325001531,eng,240,0.0,10,0,2000-02-07,Heinemann Drama,False
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,0.0,76,9,2005-05-03,William Morrow Paperbacks,False
133,eBay for Dummies,Marsha Collier,3.5,470045299,9780470045299,eng,386,0.0,111,9,2006-10-30,Wiley,False
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta,3.62,72262788,9780072262780,eng,260,0.0,24,0,2006-01-24,McGraw-Hill,False
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244,9780764569241,eng,384,0.0,55,4,2004-09-17,Wiley,False
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,9780471933823,eng,260,0.0,9,0,2006-06-06,Wiley,False
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,764559915,9780764559914,eng,391,0.0,22,1,2004-05-31,Wiley,False
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,9780764584381,eng,864,0.0,17,3,2005-04-25,Wiley,False
141,Ruby Cookbook,Lucas Carlson,3.84,596523696,9780596523695,eng,873,0.0,166,4,2006-07-29,O'Reilly Media,False
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492,9780806523491,eng,240,0.0,50,5,2005-05-03,Citadel,False
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,9780806525365,eng,206,0.0,13,2,2005-05-03,Citadel,False
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314,9780596527310,eng,514,0.0,64,1,2007-01-01,O'Reilly Media,False
151,Anna Karenina,Leo Tolstoy,4.05,143035002,9780143035008,eng,838,0.0,16643,1851,2004-05-31,Penguin Classics,False
152,Anna Karenina,Leo Tolstoy,4.05,451528611,9780451528612,eng,960,0.0,109420,5696,2002-11-05,Signet,False
153,Anna Karenina,Leo Tolstoy,4.05,140449175,9780140449174,eng,837,0.0,2904,309,2003-01-30,Penguin Books,False
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman,3.85,822001837,9780822001836,eng,80,0.0,16,3,2065-11-26,Cliffs Notes,False
155,Anna Karenina,Leo Tolstoy,4.05,1593080271,9781593080273,eng,803,0.0,9564,726,2003-07-01,Barnes & Noble Classics,False
156,Anna Karenina,Leo Tolstoy,4.05,486437965,9780486437965,eng,752,0.0,474,72,2004-11-23,Dover Publications,False
157,Anna Karenina,Leo Tolstoy,4.05,1593081774,9781593081775,eng,803,0.0,303,48,2004-08-26,Barnes & Noble,False
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270,9780778322276,eng,360,0.0,411,65,2006-01-28,Mira Books,False
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,9780521313254,eng,128,0.0,1204,33,1987-11-26,Cambridge University Press,False
162,Untouchable,Mulk Raj Anand,3.71,140183957,9780140183955,eng,160,0.0,3429,279,1990-07-03,Penguin Books,False
163,The Untouchable,John Banville,3.95,679767479,9780679767473,eng,367,0.0,2163,216,1998-06-30,Vintage,False
164,The Untouchables,Eliot Ness,3.89,1568491980,9781568491981,eng,256,0.0,613,31,1996-02-01,Buccaneer Books,False
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,9780743270793,eng,320,0.0,308,40,2005-09-27,Scribner,False
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar,4.2,932863051,9780932863058,eng,100,0.0,10,0,1995-01-28,Clarity Press,False
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon,3.65,742508803,9780742508804,eng,224,0.0,16,4,2000-12-20,Rowman & Littlefield Publishers,False
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,9780205358625,eng,216,0.0,10,0,2003-09-22,Pearson,False
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello,4.0,1557344035,9781557344038,eng,48,0.0,17,0,1991-09-28,Teacher Created Resources,False
180,Wrinkles in Time,George Smoot,4.01,380720442,9780380720446,eng,360,0.0,1035,23,1994-10-01,Harper Perennial,False
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,821925326,9780821925324,eng,250,0.0,36,6,2002-05-01,EMC/Paradigm Publishing,True
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9780439271691,eng,32,0.0,15,0,2002-01-01,Teaching Resources,False
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,751506435,9780751506433,eng,367,0.0,376,17,1994-06-01,Little  Brown Book Group,True
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,0.0,3086,237,2006-01-03,William Morrow,True
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor,3.94,743499344,9780743499347,eng,320,0.0,352,44,2005-11-01,Atria Books,False
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,9780765313409,eng,331,0.0,9852,633,2006-03-07,Tor Books,True
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford,3.9,1400032490,9781400032495,eng,244,0.0,821,78,2004-08-10,Vintage Crime/Black Lizard,True
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford,4.05,1400032482,9781400032488,eng,215,0.0,731,72,2005-03-08,Vintage Crime/Black Lizard,False
216,Miami Blues (Hoke Moseley #1),Charles Willeford,3.94,1400032466,9781400032464,eng,191,0.0,2897,178,2004-08-10,Vintage Crime/Black Lizard,True
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,679732527,9780679732525,eng,144,0.0,98,11,1990-10-03,Vintage,False
231,I am Charlotte Simmons,Tom Wolfe,3.42,312424442,9780312424442,eng,738,0.0,20888,1688,2005-08-30,Picador USA,False
237,Poetry for Young People: Edward Lear,Edward Lear,3.91,806930772,9780806930770,eng,48,0.0,66,19,2001-10-01,Sterling,False
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,140366601,9780140366600,eng,287,0.0,81,6,1996-10-03,Puffin,False
245,Henry Miller on Writing,Henry Miller,4.22,811201120,9780811201124,eng,217,0.0,981,52,2064-02-01,New Directions Publishing,False
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9780802130167,eng,154,0.0,3381,141,1994-01-13,Grove Press,False
249,Tropic of Cancer,Henry Miller,3.68,802131786,9780802131782,eng,318,0.0,53206,2376,1994-01-06,Grove Press,False
250,Tropic of Capricorn,Henry Miller,3.78,802151825,9780802151827,eng,348,0.0,14872,459,1994-01-13,Grove Press,False
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,802151787,9780802151780,eng,316,0.0,3261,58,1994-01-13,Grove Press,True
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,802151809,9780802151803,eng,506,0.0,7805,251,1994-01-12,Grove Press,True
253,The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,9780811201063,eng,292,0.0,2699,142,1970-01-17,New Directions,False
264,The Portrait of a Lady,Henry James,3.78,141439637,9780141439631,eng,797,0.0,61640,1951,2003-09-30,Penguin Classics,False
269,The Portrait of a Lady,Henry James,3.78,1593080964,9781593080969,eng,635,0.0,392,41,2004-01-16,Barnes  Noble Classics,False
277,Writing,Marguerite Duras,3.75,1571290532,9781571290533,eng,91,0.0,778,44,1999-05-06,Brookline Books,False
278,The War,Marguerite Duras,3.85,1565842219,9781565842212,eng,192,0.0,963,65,1994-08-01,The New Press,False
280,The Ravishing of Lol Stein,Marguerite Duras,3.66,394743040,9780394743042,eng,181,0.0,2057,128,1986-03-12,Pantheon,False
285,Love Letters,Kahlil Gibran,3.68,1851681825,9781851681822,eng,178,0.0,203,8,1999-07-01,One World (UK),False
288,Kahlil Gibran: His Life and World,Jean Gibran,4.21,156656249X,9781566562492,eng,464,0.0,35,2,1998-04-01,Interlink Publishing Group,False
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran,4.19,014019553X,9780140195538,eng,102,0.0,328,16,1998-01-01,Penguin Books,False
290,Jesus the Son of Man,Kahlil Gibran,3.98,394431243,9780394431246,eng,216,0.0,1308,82,1995-02-21,Knopf,False
291,The Broken Wings,Kahlil Gibran,3.92,806501901,9780806501901,eng,132,0.0,6432,517,2003-03-03,Citadel,False
292,Sand and Foam,Kahlil Gibran,4.08,067943920X,9780679439202,eng,100,0.0,3015,217,2011-06-14,Knopf,False
295,Treasure Island,Robert Louis Stevenson,3.83,753453800,9780753453803,eng,311,0.0,318753,6734,2001-09-15,Kingfisher,False
296,Treasure Island,Robert Louis Stevenson,3.83,1402714572,9781402714573,eng,213,0.0,420,42,2004-10-01,Sterling Children's Books,False
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9781416500292,eng,245,0.0,5967,276,2005-06-01,Simon & Schuster,False
298,Treasure Island,Robert Louis Stevenson,3.83,689854684,9780689854682,eng,64,0.0,104,14,2003-07-01,Atheneum Books for Young Readers,False
299,Treasure Island,Robert Louis Stevenson,3.83,517221144,9780517221143,eng,272,0.0,56,4,2002-09-03,Gramercy Books,False
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken,4.05,1577658051,9781577658054,eng,232,0.0,91,16,2006-01-31,Abdo Publishing Company,False
313,100 Years of Lynchings,Ralph Ginzburg,4.61,933121180,9780933121188,eng,270,0.0,88,4,1996-11-22,Black Classic Press,False
330,On Beyond Zebra!,Dr. Seuss,4.04,394800842,9780394800844,eng,64,0.0,2815,164,2055-09-12,Random House Books for Young Readers,False
332,The Wedding Clause,Debbie Raleigh,3.6,821778250,9780821778258,eng,256,0.0,95,13,2005-06-07,Zebra,False
333,The Zebra Wall,Kevin Henkes,3.44,60733039,9780060733032,eng,147,0.0,217,24,2005-02-15,Greenwillow Books,False
348,The Door Into Summer,Robert A. Heinlein,4.01,345413997,9780345413994,eng,304,0.0,17232,649,1997-06-17,Del Rey,False
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,9780441788385,eng,528,0.0,251872,6241,1991-10-01,Ace,False
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,9780441748600,eng,434,0.0,10293,193,1988-06-01,Ace Books,False
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,9780345316509,eng,439,0.0,15970,438,1985-10-12,Del Rey,False
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,9780765314932,eng,256,0.0,6898,200,2006-08-08,Tor Books,True
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,9780671742515,eng,307,0.0,67803,1401,1991-02-15,Pocket Books,True
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,345455290,9780345455291,eng,298,0.0,22091,746,2005-04-26,Del Rey,True
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,9780345476517,eng,368,0.0,2623,49,2005-12-27,Del Rey,False
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436,9780345368430,eng,256,0.0,885,84,1998-10-27,Ballantine Books,False
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams,3.93,1417622857,9781417622856,eng,336,0.0,5,0,2003-07-01,Turtleback Books,False
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus,4.13,573650969,9780573650963,eng,72,0.0,100,13,2011-01-12,Samuel French  Inc.,False
385,On Bullshit,Harry G. Frankfurt,3.57,691122946,9780691122946,eng,67,0.0,9358,995,2005-01-30,Princeton University Press,False
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,9780393329407,eng,347,0.0,9318,907,2005-09-12,W. W. Norton & Company,False
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,671867423,9780671867423,eng,317,0.0,120,15,1993-06-12,Simon & Schuster,False
397,The Gettysburg Address,Abraham Lincoln,4.53,395883970,9780395883976,eng,32,0.0,5239,76,1998-02-02,HMH Books for Young Readers,False
399,Underworld,Don DeLillo,3.92,684848155,9780684848150,eng,827,0.0,1505,175,1998-07-09,Scribner,False
400,Libra,Don DeLillo,3.99,140156046,9780140156041,eng,480,0.0,11857,564,1991-05-01,Penguin,False
403,Americana,Don DeLillo,3.43,140119485,9780140119480,eng,377,0.0,393,55,1989-07-06,Penguin Books,False
404,Running Dog,Don DeLillo,3.43,679722947,9780679722946,eng,256,0.0,1356,72,1989-07-17,Vintage Contemporaries,False
406,Cosmopolis,Don DeLillo,3.22,743244257,9780743244251,eng,224,0.0,460,41,2004-04-06,Scribner,False
407,Great Jones Street,Don DeLillo,3.48,140179178,9780140179170,eng,272,0.0,2492,145,1994-01-01,Penguin Books,False
408,The Names,Don DeLillo,3.64,679722955,9780679722953,eng,339,0.0,3100,212,1989-07-17,Vintage,False
409,Against the Day,Thomas Pynchon,4.13,159420120X,9781594201202,eng,1085,0.0,5296,587,2006-11-21,Penguin Press,False
410,V.,Thomas Pynchon,3.96,60930217,9780060930219,eng,547,0.0,1415,177,2005-07-05,Harper Perennial Modern Classics,False
411,The Crying of Lot 49,Thomas Pynchon,3.69,60931671,9780060931674,eng,152,0.0,2161,230,1999-04-01,Harper Perennial,False
412,Gravity's Rainbow,Thomas Pynchon,4.01,140283382,9780140283389,eng,784,0.0,762,213,2000-01-01,Penguin Books,False
413,Mason & Dixon,Thomas Pynchon,4.07,312423209,9780312423209,eng,773,0.0,8086,602,2004-01-03,Picador USA,False
414,Vineland,Thomas Pynchon,3.69,141180633,9780141180632,eng,385,0.0,702,69,1997-09-01,Penguin Classics,False
415,Gravity's Rainbow,Thomas Pynchon,4.01,143039946,9780143039945,eng,776,0.0,29764,2164,2006-10-31,Penguin Books,False
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,316724432,9780316724432,eng,193,0.0,334,34,1985-04-30,Back Bay Books,False
418,Been Down So Long It Looks Like Up To Me,Richard Fariña,3.8,140189300,9780140189308,eng,352,0.0,2473,220,1996-08-29,Penguin Classics,False
420,The Year of Magical Thinking,Joan Didion,3.89,140004314X,9781400043149,eng,227,0.0,2656,336,2005-10-04,Knopf Publishing Group,False
421,The White Album,Joan Didion,4.17,374522219,9780374522216,eng,222,0.0,11889,738,1990-10-01,Farrar Straus Giroux,False
422,A Book of Common Prayer,Joan Didion,3.8,679754865,9780679754862,eng,272,0.0,2962,255,1995-04-11,Vintage International,False
423,Where I Was From,Joan Didion,3.86,679752862,9780679752868,eng,240,0.0,2842,292,2004-09-14,Vintage,False
424,Slouching Towards Bethlehem,Joan Didion,4.21,374521727,9780374521721,eng,238,0.0,26934,1825,1990-10-01,Farrar Straus Giroux,False
425,Democracy,Joan Didion,3.81,679754857,9780679754855,eng,234,0.0,2070,169,1995-04-25,Vintage International,False
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion,4.5,307264874,9780307264879,eng,1122,0.0,1564,108,2006-10-17,Everyman's Library,False
428,Play It As It Lays,Joan Didion,3.87,374529949,9780374529949,eng,231,0.0,23656,1706,2005-11-15,Farrar  Straus and Giroux,False
431,The New York Trilogy,Paul Auster,3.89,143039830,9780143039839,eng,308,0.0,43200,1873,2006-03-28,Penguin Classics,False
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,140097317,9780140097313,eng,203,0.0,12410,734,1987-04-07,Penguin Books,True
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,014009735X,9780140097351,eng,96,0.0,3672,195,1987-07-07,Penguin Books,True
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,940650762,9780940650763,eng,179,0.0,2998,164,1986-11-01,Sun and Moon Press,True
